Puan	Yorum
1.0	Teşekkür ederim gönderim güzeldi
1.0	kitapta proplem yok 
1.0	ürün kaliteli ve güzel, ihtiyacım olursa yine aynısından alırım
1.0	ürün oldukça güzel gözüküyor. boyutları doğru verilmiş. fakat bazı taşlar yamuk ve eğri duruyor. ayrıca taşlar biraz hafif. onun dışında eksiği yok
1.0	ürün anlatıldığı gibi kullanımı kolay ve gayet dayanıklı malum ilk defa kullanınca çarpa çarpa öğreniyoz:D kargolama ve gönderi süresi cok iyi ertesi gün elime ulaştı ürün
1.0	Çok sık kitap okurum, okuduğum kitaplar arasında ilk 5 içinde...
1.0	orijinal paketleme güzel eğlenceli bir oyum teşekkürler
1.0	Ürün iyi ama kargolama gelişigüzel olmuş korgo poşetine olduğu gibi koyulmuş kitap yıpranmış.
1.0	Okumayan düşünemez,doğruyu arayamaz...Doğruyu bulamayan da şarlatanların kuyruğu olur... Sümerler bilinmeli,ki günümüz anlaşılmalı...İlmiye Hanım insanlık için bir şans...Tüm eserlerini okumanızı öneririm...
1.0	kitap çok güzel ve çok akıcı müthiş bir kitap herkese tavsiye ederim . kısacası yok böyle bir kitap mutlaka okunmalı teşekkürler sabahattin Ali
1.0	başlangıç gitarı olarak geçmekte ama bildiğin sahnede bile kullanılabilir dedi öğretmenimiz gayet başarılı bir gitar. akademi müzik logolu kılıf ile gelmesi ayrıca güzel bir sürpriz oldu teşekkür ederim...
1.0	merhum hekime Aidin Salihin bu eşsiz kitabını herkese tavsiye ediyorum. Modern tıp tehlikelerini açık açık yazan bu kitap bize gerçek şifanın nasıl olabileceğini detaylarıyla anlatıyor. bu kitabı okuduktan sonra hayatımız değişti yıllardır evimize antibiyotik girmedi. çocuklarım hastalandığında antibiyotik ve ilaç kullanmıyoruz. ayrıca hayatımızdan bütün zararlı kimyasalları ve hazır gıdaları çıkardıgımız için 20 kilo verdim : artık çok daha saglıklı, doğal ve temiz gıdalarla besleniyoruz
1.0	Kargo hızlı fiyat uygun kitabı kızım okudu bitirdi daha ne olsun 
1.0	Drone kullanımına yeni başlamak için aldım stabil duruyor fiyatı baya aşağıya inmiş tekrar hediye alabilirim .teşekkürler 
1.0	Ürün eksiksiz ve tam da göründüğü gibi geldi. İsterseniz ipe geçirerek, isteseniz de çubuğa dizerek karttaki sırayı takip ederek farklı renkteki şekilleri yerleştirebiliyor, dikkat geliştirme ve uzun süreli göz koordinasyonu için başarılı. Parçaları çok küçük değil, 3 yaş sonrası için ideal. Keşke daha önce alsaymışım diye düşündüm.
1.0	Gerçekten çok güzel bir oyun sürekli oynuyoruz ayrıca hızlı ve hasarsız bir şekilde kargodan aldık günlerce beklemeden elimizde oldu.
0.0	Orta dereceli bir bağlama teli akordu iyi yaparsanız gayet iyi ses alırsınız ben sık aralıklarla tel değiştirdiğimden fiyatı çok cazip geldi tercih edilebilecek bir tel.
1.0	Bitmesini hiç istemeyeceğiniz muhteşem bir kitap.
1.0	Okuduğum en sürekliyici kitaplardandı. Üstelik insanın günümüzden de sonuçlar çıkarması çok etkileyeci. Livaneli'nin e güzel kitaplarından birisi diyebilirim. Herkesin okumasını tavsiye ederim
0.0	Bana yetersiz gibi geldi. Alternatiflerer bakmakta fayda var...
1.0	Cd'si pek işe yaramıyor ama kitap başlangıç seviyesi için güzel.
1.0	Teşeklürler.
1.0	Hızlı ve Güvenli :
0.0	Kitabın yarısı boş. Hiç beğenmedim
1.0	Çocuğun yaşına uygun aktiviteleri içeren başarılı bir ürün.
1.0	Mutlaka okunması gereken bir kitap. Ben yeni bitirdim ve geç okuduğum için pişman oldum. Bir solukta bitirdim kitabı. Okunması ve okutulması gereken bir kitap. Arkadaşlarıma tavsiye edip, birkaçıda okumaya başladı.
1.0	BU GİTAR KALİTE , CAZİP FİYAT , ŞIKLIK DİZAYN VE RENKLERİN UYUMLU BİR ÖRNEĞİNİ BİZLERE SERGİLİYOR GİTAR ALMAYI DÜŞÜNENLER İÇİN BİR NUMARA
1.0	Urunu begendim. Paketlemesinin ozenli olmasi da cok hosuma gitti. Ancak kargo seceneginde ozellikle gece gelsin kismini isaretlememe ve evde beklememe ragmen kargom aksam saatleri icinde gelmedi. Ustelik geldik evde yoktunuz yazilmis. Ertesi gun sabah ise gittigim saatte aradilar geldik diye. Kargo haric urun ve paketlenmesi guzel.
1.0	urun ertesi gun elimize ulasti. baski kalitesi ve karton gayet iyi. hemen yirtilip bukulmuyor.kucuk cocuklar icin de gayet dayanikli.
1.0	ürünü başka bir firmadan aldım rp 55 modelinin tonları bazı pedalları aratmayacak kadar iyi tabi bu gitarınızın manyetiklerine ve gitarın tarzına göre değişiyor bunun bir üst modeli rp 90 kullanmıştım rp 90 a göre kullanımı daha kolay rp 90 a biraz yakın bir alet
1.0	Kitap gayet güzel. Güzel bir dil kullanılmış ve çeviri yapılmış. Daha mutlu yaşamak için hikayeler, pratik bilgiler ve daha fazlasını anlatıyor sizlere. Tavsiye ederim.
1.0	kitap 1 gün sonra elimde oldu
1.0	Yazarın bütün kitaplarını okudum livaneli yi okumayan kitap okudum demesin
1.0	Çok akıcı güzel kitap, 2 günde bitirdim
1.0	Güzel bir kitap
1.0	kızımın kitaplara ilgisi fazladır ancak bu kitap çok ilgisini çekmedi. 2 yaşresimler güzel ama anlatımı dikkat çekici değil sanırım
1.0	Adem Güneşin bütün kitaplarını almayı düşünüyorum. Gerçekten çok güzel yararlı bilgiler sunuyor. Herkese tavsiye ederim.
1.0	kitabın boyutu küçük çocuklar için harika. resimler ve masallar da çok iyi. 5 yaşındaki oğluma masalını okurken 1,5 yaşındaki kızım dinlemek yerine önceki gün okuduğumuzu eline verdiğimizde resimlerde gördüklerini anlatıyor. yani masalını kendi yazıyor:tek kelime ile harika bir set.
1.0	SİPARİŞ VERDİĞİM ZAMAN BU FİYATA NAYLON BİR TORBA BENZERİ BİR ŞEY GELİR DİYE DÜŞÜNMÜŞTÜM AMA TEK KELİMEYLE MÜKEMMEL BİR ÜRÜN GELDİ.TEŞEKKÜRLER
1.0	Hizli gonderi uygun fiyat. Piyasada 1.5 kati. Sadece kitabin birinde 2 sayfa tekrar basilmis. Ufak onemsiz bi hata.
1.0	Güzel kitap. 
1.0	1 günde elimize ulaştı orijinal ürün teşekkürler animokitap
1.0	Yunus Emrenin gerçek aşkı, işte aşk böyle olmalı diyeceğiniz ve okudukça içiniz ısınacak bir eser. Ten f&#226;nidir, can ölmezÇün, gitti geri gelmezÖlür ise ten ölürCanlar ölesi değil
1.0	Sorunsuz teslimat 
0.0	02.01.2019 Tarihnde elime ulaşan mikrofon sanki voleybol sahasında oynanmış gibi ya da yumruklanmış gibi geldi çok sağol HEPSİBURADA! alıcaklara tavsiyem kalite olarak iyi ama paketlemeden veya gelirken bişey olursa diye korkunuz varsa katiyen almayım çünkü BENİMKİNİN ***** ******** MAŞALLAH!
1.0	ürünü almak için çok araştırdım ve bu ürünü aldığıma çok memnunum. yeni başlayanlar için gayet ama gayet iyi ürün. ilk denememi evde yaptım 4 kere duvara bindirmeme rağmen hiç birşey olmadığı gayet sağlam. ürünle ilgili daha iyi bilgi alabilmem için hubsan müşteri hizmetlerinde yasin beye ayrıca teşekkür ederim. teknik destek konusunda hiç beklemeden her türlü destekte bulunuyorlar. asla pişman olmayacağınız bir ürün ben çok memnunum teşekkürler HEPSİBURA da. teşekkürler HUBSAN
1.0	İlk önce kitabı çok hızlı bir şekilde elime ulaştıran Hepsiburadaya teşekkürler.Kitaba gelince;buradaki yorumlara bakarak tereddüt etmeden bu kitabı aldım,ve iyiki almışım.2 günde kitabı okudum,çünkü başlayınca sonunu merak ediyorsunuz.Kitap okurken ağlayacağım aklıma gelmezdi,keşke bu yaşananlar gerçek olmasaydı dedirten bir kitap.Sinan Akyüzün kalemine sağlık.Bence okunması gereken gerçek bir roman
1.0	Stefan Zweig kitaplarını severek okuduğum bir yazar olduğu için aldım. Ben kitapları işle ev arasındaki toplu taşıma yolculuklarımda okuduğum için sayfa sayısının azlığı taşıma ve bitirip bir başkasına geçme kolaylığı sağlıyor. İçerikler süper,öykülerdekiinsan tiplemeleri ve insanpsikolojisinin böylesine çarpıcı şekilde anlatılması yazarın bu konudaki dehasını ortaya koyuyor. İşin hizmet yanına gelince: o da süper. Çünkü siparişi verdiğimin ertesi günü kitaplar elimdeydi. Teşekkürler..
1.0	çok güzel oyun
1.0	hizli kargo! ama kitap daha temiz ve hasarsiz gelseydi keske
1.0	zamanında geldi
1.0	Güzel paketleme ve hızlı gönderim için teşekkürler,gayet kaliteli bir ürün ve zevkli bir oyun.
1.0	çok iyi bir kitap
1.0	Ürün gayet güzel ve anlaşılır.Çok Teşekkürler
1.0	eğlenceli bir oyun.kaliteli ve uygun fiyat.kargoda hızlıydı hersey için tesekkurler
1.0	Ürün gayet güzel bir şekilde ve zamanında gönderildi. Teşekkür ederim..
1.0	Birinci cildi kadar mükemmel. Tereddüt etmeden alınır.
1.0	oğlum 2,5 yaşında, eğlenerek yapıyoruz.
1.0	cok yararli bir kitap
1.0	Fiyata göre iyi bir ürün
0.0	Yazarı rahmetle anıyorum l&#226;kin anlatım tarzı durgun.Edebi bir yapıt farklı tarzı olanlara çok sade gelecektir ki bana öyle geldi.Ne yazıkki pek öneremeyeceğim bir kitap
1.0	Hızlı teslimat &#128077;
1.0	zorlayıcı bir puzzle değil yapması çok keyifli.bana gönderilen puzzleda 3 parça eksik çıktı..kayıp parça desteğii olduğu için kısa sürede ve ücretsiz olarak eksik parçalarım elime ulaştı.parçaların arasında boşluk kaldığı için yapıştırırıken biraz uğraşmak gerekiyor bir de resimde siyah görünen kısımlara kanarak siyah çerçeve sipariş etmiştim fakat puzzleda kahverengiymiş :yine de çok şık bir puzzle tavsiye ederim
1.0	kitap bir solukta okunacak türden, eğlenceli ve akıcı bir dili var. beynimizle ilgili yapılan çalışmaları herkesin anlayacağı şekilde ve tabii eğlenceli bir biçimde okurlarına aktarıyor. olaylara farklı açıdan bakmak için de yararlı bir kitap olduğu kanaatindeyim.
1.0	Bu fiyata bu ürüne benzer başka ürünü kitabevlerinde bulmanız mümkün değil.Hikayeler çok eğitici.
1.0	hayatım boyunca okuduğum en muhteşem kitaplardan bitanesi.herkesin okumasını şiddetle tavsiye ediyorum.çok sürükleyici asla elinizden bırakamayacağınız ve bir solukta okuyacağınız fevkalade roman.bunu herkes okumalı...
1.0	Teşekkür ederim hızlı kargo İçin
1.0	Kutunun kenarları yırtık geldi ama üründe herhangi bir sıkıntı yok, memnun kaldım. teşekkürler
1.0	Oğlum çok beğendi.. okula başlayacak çocukların gelişimi için faydalı bilgilere sahip inşallah yararı olur.
1.0	Hayatta bazen bir kitap seni bulur, bazen de sen bir kitabı bulursun. Hicbir zaman tesadüf yoktur.Kimin kimi bulduğunun da bir önemi yoktur. Bu buluşmaların daima bir nedeni vardır. Kendim içinde o nedenlerimi bulabilmem niyetiyle...
1.0	Hiç bir sorun yok. Teşekkürler.
1.0	kitap güzel bilgiler içeriyor anlaşılır bir dille yazılmış. okunması gereken bir kitap. yazarın bütün kitapları okumaya şayan bir eser zaten o yüzden mutlaka alıp okuyun ..
1.0	Orjinal ürün hızlı kargo süper eğlence
1.0	Harika,hızlı kargo ve kaliteli ürün ????
1.0	Hızlı teslim. Çok teşekkürler.
1.0	Livaneli'nin okumadığım birkaç kitabı kaldı. Bu kitapta Ezidi insanların çektiği eziyeti uzun bir hikaye olarak anlatmış. İki oturuşta okudum, 154 sayfa zaten. Çok güncel bir konu olduğu için tavsiye ederim.
1.0	hızlı ve sorunsuz bir alışveriş oldu. Teşekkürler
1.0	Ürün tam istediğim gibi, çok memnunum aldığım için.
1.0	Kitap çok güzel içerik konusunda da dış görüniş olarakta çok güzel .Almanızı tavsiye ederim ☺☺
1.0	Harika kesinlikle iyi ki almışım diyorum
1.0	Arkadaşlara samimiyetimle söylüyorum hayatım boyunca matematikten nefret ettim sınav günleri benim için eziyet gibiydi ama iş başa gelince kolları sıvamak gerekti önce işe çarpım tablosunu öğrenerek başladım öyle basit kuru kuruya ezber yapmadım elime kağıt kalemimi aldım devamlı yazdım, yazarak öğrenmek daha mantıkta kalıyor. Ben Türkçeyi çok sevememe rağmen artık matematikten haz almaya başladım şuan ki aşamam baya ileride eğer ki sizde benim gibi sorunlar yaşıyor ve atlatamam diyorsanız yapın siz matematikten korkmayın o sizden korksun teşekkürlerBy X 
1.0	Kızıma hediye aldım.Ses kalitesi, performansı güzel.Paketleme ve sevkiyat hızı iyi. Teşekkürler.
1.0	Kargo çok hızlıydı ve kalitesi oldukça yüksek. Cep telefonu bağlantısı gayet iyi kamerası biraz sarsıntılı. Alacaklara tavsiye ederim.Tek eksiği detaylı kullanım kılavuzu olmaması
1.0	Ürün sorunsuz şekilde elime ulaştı. Bağlama çalmayı yeni öğreniyorum. Ürün sayesinde kolayca akord yapabildim.
1.0	Bir çırpıda okunup bitecek tarzda bir kitap değil bölüm bölüm okunup düşünülmesi gereken tarihten ders çıkarmamızı anlatan yazarın zekasına hayranlık duyuran okunması gerekn bir kitap
1.0	bu kitabı yazın okumuştum okurken kendimden geçtim gerçekten süper bir kitap ayrıca hepsi buradayla kitap elime hızlı bir şekilde ulaştı teşekkürler
1.0	güzel ama mukemmel değil
1.0	ürünü gece sipariş ettim manisaya akşam üzeri geldi elime ulaştı.teşekkürler hepsiburada her zamanki gibi bu alışverişimden de memnun kaldım.
1.0	kalite ve uygun fiyat. teşekkürler
1.0	3 yaş ve 4 yaş ürünlerinide inceledim. bu seriye 2 yaşında başlanması önemli. dikkati keskinleştirmekte ve çocuğun nesnel farkındalığını arttırmakta. başarılı bir çalışma olmuş. elinize sağlık.
1.0	Gayet guzel ve piyasaya gire ucuz 
1.0	Çok memnun kaldık. Ürün kaliteli. Ailecek oynadık ve çok eğlendik.
1.0	bence harika bir kitap Kesinlikle okumanızı tavsiye ederim.
1.0	resim kalitesi ve içeriği çok güzel severek okuduk
1.0	çok muhteşem bir anlatım ve hikaye, insan kitabı bitirmeden bırakamıyor. herkesin okumasını tavsiye ederim.
1.0	Ürünü alırken yorumları okudum ürünün güzel olduğunu söylediler bende aldımürünü. Ürünün ses kalitesi müthiş.paketleme Harika.kargo hızlı. Fiyat müthiş.daha ne olsun
1.0	Orjinalini görmedim ama bazı kişilerin söylediği gibi eksik yoktu. Bardaklar çok kaygan değil olması gerekiyor mu onu da bilmiyorum. Oyunda sadece yanyana yada üst üste koyacaksın Bence fena değil. Alınabilir önemli olan oyunda eğitici ve eğlenceli olması bence. Yeterli görünüyor. İçinden sürpriz oyun çıktı. Hediye paketi ile geldi.Sadece teslim edilmeden önce hiç tanımadığım başka bir isme teslim edildiği bilgisi geldi. Bu biraz bizim için sıkıntılı oldu fakat sıkıntı kargo firması ile ilgimi yoksa satıcı firma ile ilgili mi bilemedik. Söylenilen zamanda elime ulaştı.Teşekkür ederim.
1.0	Oğlum 2 yaşına girmeden önce 2 yas kitabını aldık çok büyük keyifle bitirdik.simdi 26 aylık oldu oğlum 3 yas kitabını aldık ve aynı keyifle öğrenmeye devam ediyoruz. Bence her yas seti alınıp çocuğun öğrenme anlama ve pekiştirmesine bağlı olarak ilerlemeli. 3.kitap 2.kitabın geliştirilmiş hali. Başı sayfalar hızla atlanirken başı sayfalarda uzunca düşünüyoruz &#128522;kesinlikle tavsiye ediyorum.
1.0	hızlıkargo hepsiburada süpersin .
1.0	Ürün çok güzel Çok güzel hediye paketi ve extra oyun ile geldi.Yalniz Sürat kargodan hiç memnun değilim
1.0	Harika çocuk beğendii
1.0	Kitap güzel kargo hızlı beğendim
1.0	12 yaşındaki kitap okumayı sevmeyen kızımın ilgisini çekti.
1.0	Teslimat hızlı paketleme iyiydi
1.0	Ertesi gün kitap elimdeydi ambalajlama da çok güzeldi daha ne olsun teşekkürler hb:
1.0	Arkadaşın biri dinin nasıl kullanışlı!birşey olduğundan filan bahsetmiş. Lakin kitapta anlatılan şey kullanılanın &quot;din&quot; değil insanların zaafları olduğunu düzeltmek isterim. Son olarak kitabın, hasan sabbah ve devrini olanca akıcılığı ile iliklerinize kadar yaşattığını hissedeceksiniz.
1.0	Fiyatına göre çok güzel bir org. Tuşlar yumuşak, hassas ve sessiz. Oyuncak gözüyle bakmayın. Yeni başlayan birisinin eğitimi için çok uygun. Hatta tuşlar 10 yaşından küçükler için büyük bile diyebilirim.
1.0	Mutlaka okuyun.çok güzel bir anlatım
1.0	Verilen tarihten çok daha kısa zamanda geldi ve bir solukta okunan bir kitap
1.0	Hızlı kargo
1.0	Sağlam ve kaliteli bir malzemeden üretilmiş. Gayet başarılı bir ürün. Tavsiye ederim.
1.0	Oğluma aldım. Çok severek okuyor.
1.0	Gayet güzel alternatif tarih akışını güzel yansıtmış ??
1.0	yorumlara bakıp çok korkarak aldım. ama çok ihtiyacım vardı kongrelerde minik çantalar parfüm sığmıyor.once ucuz parfümüm den doldurdum sızdırma yapmadı.ama çok püskürttüğü doğru. işime yarayacak gibi duruyor.
1.0	güzel başarılı takdire şayan iyi
1.0	H&#226;l&#226; okumadıysanız daha ne duruyorsunuz hemen alıp okuyun yazarın diğer kitapları da çok güzel okumanızı kesinlikle tavsiye ederim
1.0	Bir kitap bukadar mi harika olur Türk bir yazarın bukadar iyi yazması beni gururlandirdi
1.0	Ürün gayet güzel ve piyasada daha uygunu yok. Teşekkür ederiz. 
1.0	sıfır jelatininde geldi.Ustanın neredeyse en güzel parçaları bu albümde.Kesinlikle tavsiye ederim.temiz billur bir plak
1.0	Kitabı çok merak ediyordum. Küçük büyük herkesin okumasını tavsiye ederim. Hızlı ve sorunsuz gönderi için de ayrıca teşekkürler. Çok memnum kaldım.
1.0	kitap gercektende cok keyifli okurken hic sıkılmıyorsunuz herkese tavsiye ederim
1.0	kitap siparişin ertesi gün elime ulaşı teşekküler hepsiburada sorular ise fena değil sınavda başarı isteniyorsa kitaba bakmakta fayda var.
1.0	SORUN OLMADAN ELIME ULASTI. GAYET GUZEL COK MEMNUN KALDIM...
0.0	Ürünü teslim aldım açılmasında kapanmasında herhangı bı problem yoktu ancak alttakı yer çıkıyordu memnun kalmadım
1.0	bu tur testlerde destekleyici kilaplar uzerine dusmesemde evde bulundurulmali okulu sevdirebilecek mukemmel hazirlik testleri 
1.0	Güzel paketleme ve çok hızlı gönderi 
1.0	güzel kitap tavsiye ederim
1.0	Beklediğimden daha iyi ve kaliteli
1.0	fiyat iyi kitap güzel hepsiburadaya teşekkürler
1.0	Cok hizli kargo, kitaplar zaten harika, daha ne olsun??
1.0	Fedailerin Kalesi Alamut, Sloven yazar Vladimir Bartol'un 1938'de yazdığı ve birçok dünya diline çevrilmiş romanıdır. Hasan Sabbah devrini ve Alamut Kalesini siz de içindeymiş gibi yaşayacaksınız. Alın ve sadece okuyun! Muhteşem bir eser.
1.0	Hızlı sevkiyat hızlı teslimat.
1.0	harika bir anlatıma sahip bir kitap.ellerinize sağlık
1.0	Ürün 1 gün içinde elime ulaştı teşekkürler
0.0	Ben pek beğenmedim. Resimleri pek ilgi çekici değil. Çok daha güzel kitaplar var. 
1.0	Hızlıca geldi, güzel kitap
1.0	Şiddettle tavsiye ediyorum, herkes mutlaka okumalı. Emeği geçen herkese teşekkür ederim. Özellikle ilmiye hocama.. 
1.0	Klasik 4 bacaklı çıt çıt düğme. Kenarda dursun illakı lazım oluyor.
1.0	teşekürler cok hızlı ve sorunsuz elime ulaştı..
1.0	Kağıt kalitesi iyi, yazı fontu iyi kurgo hızlı, teşekkürler hb.
1.0	Diğer aldiğim kitaplardan farkli bir kargo paketi ile gonderildi. Bir gunde elime ulasti.
1.0	Teşekkür ederiz. Kitabı neyapıp edip bulup gönderdiğiniz için.
0.0	Yorumlara bakarak almıştım ama öyle ahım şahım bir kitap değil. Resimler renkli değil ama daha önemlisi resimler sayfadaki metne ait değil. Anlatımı orjinal dili Türkçe olan kitaplar kadar başarılı değil. Kitabın ana konusu zincirleri kırıp yeni ufuklara açılmak. Yan konu olarak ezilmeyeceksin / öl ya da öldür mesajı var. Özgürlük sevdasıyla sahibinden kaçan nankör Beyaz Rüzgar hikayesinin tam tersi bir mesaj var. Beş yıldızlık bir kitap olamaz.
1.0	Hızlı teslimat , güzel ürün.Teşekkürler.
1.0	kitabı hepsiburadadan aldım hem uygun hem çok hızlıgeldi. bir zülfü livaneli kalitesi kitap çok harika merak uyandırıyor. ve sonunda da sizi şaşırtıyor. sonunu tahmin edemeyeceksiniz. mutlaka okuyun derim.
1.0	Bu fiyata harika bir ürün hiç bu kadarını beklemiyordum. Teşekkürler.
1.0	Gayet güzel kitap zarar görmeden elime ulaştı.
1.0	Lord Voldemortun yandaşı olarak bilinen Sirius Black adlı azılı katilin Harry Potterı nasıl takip ettiğini ve Harry nasıl oluyorda bu katilin peşine düşüyor diyerek kitap elinizde eriyip gidecek...
1.0	Başlangıçta sıkı takmama rağmen kaydırma yapsa da bildiğim marka en azından adi bir ürün ile veya çakmasıyla karşılaşmadım, ama yanlış hatırlamıyorsam hard telleri taktığımda zamk gibi tel gitara tutunması gerekiyordu ama diğer aldığım ürünlerle birlikte düşündüğümde mağazanın ürünleri kaliteli diyebilirim
1.0	Alır götürür usulca okunmalı fazla etki eder.
1.0	Güzel ürün. teşekkürler
1.0	Keyifli bir strateji oyunu. 6 yasindaki kizim cok begendi. Ahsap guzel, bazi ufak tefek capaklari temizlemek gerekebilir sadece, ama bu fiyata hic sorun degil, emsali ile arasinda 100 tl var neredeyse.
1.0	sara sahinkanattan yine sıcacık eğlenceli bir kitap tıpkı diğerleri gibi bence babalara ilham niteliginde&#128522;
1.0	hizli ve sorunsuz cok guzel
1.0	Mükemmel bir kitap. Herkes mutlaka okumalı
1.0	Kitap çok hızlı elime ulaştı. Resimleri güzel. Ben beğendim.
1.0	Çok güzel ??
1.0	ÜRÜN GÜZEL GÖRÜNÜYOR HASARSIZ TESLİM ALDIK, İNŞALLAH ÇOK MEMNUN KALIRIZ
1.0	Bu kitap bi harika. alışverişde gösterilen özen icin teskkurler hepsiburada
1.0	Güzel paketlenmiş kaliteli üründü tavsiye ederim
1.0	Bence her Türk Vatandaşının okuması lazım özellikle gençler.. Tüketimden uzaklaşıp, mantıklı para artırma sistematiğini öğretiyor. Daha bir çok şey daha var..
1.0	Ürün çok sağlam hiç bir sıkıntısı yok rahatlıkla alabilirsiniz.
1.0	Kitap gayet başarılı.24 saatte kargo geldi.
1.0	Fiyatına rağmen süper bir kitap...
1.0	gercekten cok güzel bi baglama tavsiye ederim kısa sürede elime gecti tesekkur ederim.
1.0	Anlatıldığı gibi geldi orjinal oyun 
1.0	İyi ve güzeldi sorunsuz geldi.
1.0	resimlerin görselliği ve konuları gayet iyi,2 buçuk yaşındaki oğlumla sıkılmadan resimlere bakarak hikayeyi okuyup yaşıyoruz
1.0	Bir suredir kullaniyoruz cok memnunuz. Kaliteli ve saglam bir takim.
0.0	Kitap güzel,tavsiye ederim ama hepsiburdanın kargolama şekli çok kötüydü.Kitap yamulmuş şekilde geldi...
1.0	oyuna bayıldım indirime girmesi de süper olmuş tabletten kurtulmamizi sağladı ?? hızlı gönderi ve fibroidannenin kıymetli tavsiyeleri için teşekkürler
1.0	Çok tşk ederim hızlı kargonuz için
1.0	Ürün gayet güzel gitarlar çok rahat ve sağlam duruyorlar. Fiyat kalite oranı gayet iyi. Tavsiye ederim.
1.0	Çok begendim
1.0	Oyuncak olarak güzel ancak daha fazlasını beklemeyinPervaneleri çarptığı yeri çiziyor, outdoor kullanılması gerekiyor
1.0	ÜRÜN ÖZELLİKLE ELEKTRO GİTAR ÇALAN MÜZİSYENLER İÇİN BİR ÇOK ALTERNATİF SES SEÇENEĞİNİ SİZE SUNUYOR. KAYIT ETME SEÇENEĞİ &quot;STORE&quot; VAR. ÖRNEĞİN RİTM KAYDEDİP ÜSTÜNE SOLO ATABİLİYORSUNUZ. ÜRÜNDE FARKLI DAVUL RİTMLERİ DE MEVCUT. RİTM, SOLO VE DAVULLA BİRLİKTE TEK BAŞINIZA KAYIT EDİP DEMO YAPABİLİRSİNİZ. BİRDE TUNER YANİ GİTAR AKORDU YAPMA SEÇENEĞİ VAR. HAFİF ve ERGONOMİK.
1.0	Kitap güzel sipariş verdiğim günden beri merak ederek bekledim. Diyeceğim tek şey, okuyun, okutturun.
1.0	Bir soluk ta okunabilecek sürükleyici düşündürücü bir okadar da güzel bir eser.zulfu Livaneli yazar da olmaz mi.kitaplari okuyucular a uygun fiyat ve hızlı gönderim ile ulaştıran hepsi burada ailesine teşekkür ediyorum
1.0	hızlı teslimat, kusursuz ürün
1.0	Fiyatına göre çok güzel kitaplar. Küçük kızımın biraz daha beklemesi gerek ama. Çünkü bebeklere göre değil biraz uzun. İki buçuk- üç yaşa olabilir belki.
1.0	Tali Öykülerle Davranış Eğitimi Seti 3-7 Yaş - Cd Hediyeli uzun zaman dır sepetim e koymuş ve başka marketler de ki ürünleri inceledim ve fıyat olarak en uygun olduğunu gördüm ve siparişimi verdim alınnır..!
1.0	En kısa sürede okuyacağım. Kargo temiz bir sorun yok. İyi alışverişti.
1.0	Kitabın başlarında her ne kadar sıkıldıysam da sonraları nasıl geçti anlamadım... Bir solukta bitirdiğim ender kitaplar arasına aldım.. Herkese tavsiye ederim...
1.0	Teslimat süresi ve indirim çok güzel, teşekkür ederim.
1.0	hepsiburada ya hızlı kargo ve özenli paketleme için teşekkür ederim. kızım çok severek yapiyor. kaliteli vakit geçirmek için güzel bir kitap seti. alacaklara tavsiye ederim.
1.0	Yeni başlayanlar için ideal bir alet.
1.0	üniversiteye başladığımda okumuştum ve yıllar geçmesine rağmen okuduklarım arasında beni en çok etkileyen romanların başındadır.İnsanın bakış açısını değiştiriyor, yaşamın içindeki küçük dokunuşların anlamını kendi iç dünyanızda değerlendirip, dünyayı farklı şekilde anlamlandırmanızı sağlıyor.Gerçek hazineyi bulmak için çok uzaklara gitmeye gerek yoktur belki onu bulmak sadece onu etrafında görebilmektir.Brişeyi gerçekten istediğiniz zaman kişisel menkıbe bütün evren sizinle birlik olur.
1.0	alıp memnun olacagım bi saz olarak düşünmüştüm ve aldım memnun kaldım. 2 aydır kullanıyorum süper bi ürün kaçırmayın derim.bu fiyatainanın 500tl lik ürünü alıyosunuzfarkı göreceksiniz ve hissedeceksinizsizde zaten pişman olmayacaksınız üründen.hayırlı günlerde kullanmanız dilegiylealan arkadaşlara şimdiden hayırlı olsun sazınız türkü dostları..
0.0	Urunu elime aldigimda karsilastigim paketleme gercekten sasirtti magazayi bu yonden ve satis sonrasi destek noktasinda buraya yazmayacagim seyler dahilinde de tavsiye etmiyorum. Kullanim acisindan degerlendirirsek; sarji sadece 2 dk civari gidiyor, kontrolleri cocuklariniz icin zor bir seviyede. Benim acimdan gereksiz bir urun oylece evde duracak verilen, para bosa gitmis oldu. 
1.0	Redka ürününü oyuncakçıda görmüştüm. Kaliteli durmuyordu. Bu,ondan iyi. Ortası basılınca oynuyor ama oyun esnasında ortaya kuvvetle bastırmak gerekmiyor. Koruma kapağı da var taşlar için. Yani oyun alınır.
0.0	Ürün ölçü olarak iyi ancak kumaşı çok ince, masanın üstünde sürekli kayıyor. 2000 parça puzzle yapıyorum, masanın yanından geçerken halıya değince halı yerde, puzzle parçaları ortalara dağılmış. Daha önce hepsiburada.dan aldığım polisan marka puzzle halım var, keçe gibi bir malzemeden yapılmış. Puzzle yaparken de bitirip toplarken de sıkıntısız. Bunu yedek olsun diye markalı ürün, iyidir diye aldım ama beğenmedim, ben tavsiye etmiyorum.
1.0	688 sayfa boyunca gözlerim dolu okudum.herkes okusun okusun ki bu vatanı nasıl kazanmışız öğrenin.belki kaybetmemek için biraz daha çabalarız.hiçbbir yer insanın kendi vatanı gibi kıymetli olmaz
1.0	Gayet iyi, herhangi bir sorun yaşamadım.
